time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003623,-0.1026,0.0993,-0.1569,0.212
0.004556,-0.1026,0.0993,-0.1569,0.212
0.004949,-0.1737,0.1319,0.4744,0.522
0.005308,-0.1737,0.1319,0.4744,0.522
0.038207,-0.0332,0.0454,0.0440,0.071
0.039346,-0.0332,0.0454,0.0440,0.071
0.060489,-0.2726,-0.0386,0.2179,0.351
0.061520,-0.2726,-0.0386,0.2179,0.351
0.071108,-0.1570,-0.0402,-0.1583,0.227
0.072092,-0.1570,-0.0402,-0.1583,0.227
0.085888,-0.1022,-0.1361,0.2996,0.345
0.087096,-0.1022,-0.1361,0.2996,0.345
0.105754,-0.2978,-0.1855,0.3224,0.476
0.106976,-0.2978,-0.1855,0.3224,0.476
0.125477,-0.5710,-0.2295,0.4077,0.738
0.126668,-0.5710,-0.2295,0.4077,0.738
0.144973,-0.8164,-0.1536,-0.3632,0.907
0.146129,-0.8164,-0.1536,-0.3632,0.907
0.165346,-0.3643,-0.1913,-0.3394,0.533
0.166927,-0.3643,-0.1913,-0.3394,0.533
0.185201,0.0001,-0.3642,0.1411,0.391
0.186265,0.0001,-0.3642,0.1411,0.391
0.205641,-0.0515,-0.4773,0.3587,0.599
0.207175,-0.0515,-0.4773,0.3587,0.599
0.225094,0.0560,-0.7667,-0.3196,0.833
0.226625,0.0560,-0.7667,-0.3196,0.833
0.245666,0.7287,-1.3337,-0.5831,1.628
0.247102,0.7287,-1.3337,-0.5831,1.628
0.273129,1.6167,-1.6026,-0.0881,2.278
0.274745,1.6167,-1.6026,-0.0881,2.278
0.285280,2.1141,-0.7018,-0.1192,2.231
0.287025,2.1141,-0.7018,-0.1192,2.231
0.305586,0.8680,0.6220,-0.2672,1.101
0.308179,0.8680,0.6220,-0.2672,1.101
0.324852,-0.8265,1.5748,-0.6640,1.898
0.325801,-0.8265,1.5748,-0.6640,1.898
0.345878,-0.1848,0.6288,-0.2194,0.691
0.347542,-0.1848,0.6288,-0.2194,0.691
0.366140,0.2134,-0.1136,0.7937,0.830
0.368277,0.2134,-0.1136,0.7937,0.830
0.385617,0.0274,-0.1459,0.0417,0.154
0.386747,0.0274,-0.1459,0.0417,0.154
0.406971,-0.4525,0.1832,-0.1854,0.522
0.408379,-0.4525,0.1832,-0.1854,0.522
0.425845,0.2219,-0.0454,0.4719,0.523
0.427204,0.2219,-0.0454,0.4719,0.523
0.445665,0.1206,-0.5362,0.5344,0.767
0.447332,0.1206,-0.5362,0.5344,0.767
0.465800,0.3296,-0.4631,-0.2385,0.616
0.467894,0.3296,-0.4631,-0.2385,0.616
0.485951,0.8049,-0.8125,-0.0549,1.145
0.488129,0.8049,-0.8125,-0.0549,1.145
0.505894,0.8084,-1.4048,-0.1653,1.629
0.507798,0.8084,-1.4048,-0.1653,1.629
0.525507,0.1089,-1.4135,-1.9417,2.404
0.526811,0.1089,-1.4135,-1.9417,2.404
0.545530,0.5302,-0.6298,0.1015,0.830
0.546573,0.5302,-0.6298,0.1015,0.830
0.569835,0.2709,-0.6238,0.3058,0.746
0.572134,0.2709,-0.6238,0.3058,0.746
0.585274,0.6616,-0.7428,0.3273,1.047
0.587578,0.6616,-0.7428,0.3273,1.047
0.606285,0.1447,-0.9062,-0.0380,0.918
0.608053,0.1447,-0.9062,-0.0380,0.918
0.625440,0.1463,-0.7939,-0.0533,0.809
0.627256,0.1463,-0.7939,-0.0533,0.809
0.645220,-0.1056,-0.3209,0.1738,0.380
0.646233,-0.1056,-0.3209,0.1738,0.380
0.670869,-0.7062,0.3162,-2.1319,2.268
0.672669,-0.7062,0.3162,-2.1319,2.268
0.685601,0.2240,0.1471,0.4721,0.543
0.687629,0.2240,0.1471,0.4721,0.543
0.706044,-0.3191,0.1506,0.5195,0.628
0.707565,-0.3191,0.1506,0.5195,0.628
0.725472,-0.2921,0.0634,-0.0277,0.300
0.727096,-0.2921,0.0634,-0.0277,0.300
0.744782,-0.3820,0.1771,0.2042,0.468
0.746168,-0.3820,0.1771,0.2042,0.468
0.765844,-0.1194,0.5514,0.2653,0.623
0.767862,-0.1194,0.5514,0.2653,0.623
0.785300,0.1468,0.7324,-0.2182,0.778
0.787127,0.1468,0.7324,-0.2182,0.778
0.806258,0.2324,1.1320,-0.8245,1.420
0.807572,0.2324,1.1320,-0.8245,1.420
0.826873,-0.1974,1.4512,-1.2622,1.933
0.828600,-0.1974,1.4512,-1.2622,1.933
0.845523,-0.3068,1.0108,-1.1339,1.550
0.846566,-0.3068,1.0108,-1.1339,1.550
0.866833,0.5548,0.5015,-0.3057,0.808
0.868488,0.5548,0.5015,-0.3057,0.808
0.885498,0.0994,0.0024,0.5906,0.599
0.887389,0.0994,0.0024,0.5906,0.599
0.904675,-1.1747,0.2869,-0.3936,1.272
0.907743,-1.1747,0.2869,-0.3936,1.272
0.928252,-1.6082,1.7777,-1.1683,2.667
0.930582,-1.6082,1.7777,-1.1683,2.667
0.944629,-1.2294,2.3040,-0.8425,2.744
0.946133,-1.2294,2.3040,-0.8425,2.744
0.965161,-1.0698,1.9102,-0.1157,2.192
0.966550,-1.0698,1.9102,-0.1157,2.192
0.984542,-0.6888,0.9678,0.7940,1.429
0.986029,-0.6888,0.9678,0.7940,1.429
1.005020,-0.2781,0.1309,0.6010,0.675
1.006843,-0.2781,0.1309,0.6010,0.675
1.025044,-0.3945,0.5925,0.3473,0.792
1.026374,-0.3945,0.5925,0.3473,0.792
1.044783,-0.8681,1.0167,0.1643,1.347
1.046106,-0.8681,1.0167,0.1643,1.347
1.064981,-1.0231,0.2942,0.0025,1.065
1.065992,-1.0231,0.2942,0.0025,1.065
1.085167,-1.0866,-1.2293,1.3238,2.108
1.086826,-1.0866,-1.2293,1.3238,2.108
1.105460,-0.4403,-2.8149,0.5912,2.910
1.107427,-0.4403,-2.8149,0.5912,2.910
1.125926,-0.2798,-3.2858,-0.1182,3.300
1.127709,-0.2798,-3.2858,-0.1182,3.300
1.145188,-0.4532,-2.7001,-0.4454,2.774
1.147852,-0.4532,-2.7001,-0.4454,2.774
1.165095,-0.1189,-2.1039,-0.5216,2.171
1.167817,-0.1189,-2.1039,-0.5216,2.171
1.184556,0.3128,-2.1503,-0.5914,2.252
1.186827,0.3128,-2.1503,-0.5914,2.252
1.204890,0.7744,-2.3666,-0.2974,2.508
1.206241,0.7744,-2.3666,-0.2974,2.508
1.224644,0.3487,-2.0238,-0.2059,2.064
1.226691,0.3487,-2.0238,-0.2059,2.064
1.244774,-0.1833,-0.9797,0.3077,1.043
1.246244,-0.1833,-0.9797,0.3077,1.043
1.265382,-0.6451,-0.0673,0.9555,1.155
1.267306,-0.6451,-0.0673,0.9555,1.155
1.284746,-0.4625,0.0694,1.2558,1.340
1.286362,-0.4625,0.0694,1.2558,1.340
1.304858,-0.3996,-0.1538,0.3271,0.539
1.306762,-0.3996,-0.1538,0.3271,0.539
1.324556,-0.6073,0.0611,0.1966,0.641
1.326320,-0.6073,0.0611,0.1966,0.641
1.344492,-0.6098,0.5696,0.7581,1.127
1.345479,-0.6098,0.5696,0.7581,1.127
1.365183,-0.2312,0.8944,0.3011,0.972
1.366561,-0.2312,0.8944,0.3011,0.972
1.384932,0.2567,1.9472,-0.1427,1.969
1.386661,0.2567,1.9472,-0.1427,1.969
1.404786,0.6907,2.8052,-1.0661,3.079
1.406382,0.6907,2.8052,-1.0661,3.079
1.425316,0.7786,4.7510,-0.5020,4.841
1.427440,0.7786,4.7510,-0.5020,4.841
1.444571,0.2842,3.7590,-0.9294,3.883
1.445907,0.2842,3.7590,-0.9294,3.883
1.464551,0.4433,1.0874,-0.5080,1.279
1.465807,0.4433,1.0874,-0.5080,1.279
1.484666,1.2748,-1.6409,-0.3130,2.101
1.487182,1.2748,-1.6409,-0.3130,2.101
1.506223,2.0036,-1.3284,-0.4457,2.445
1.507933,2.0036,-1.3284,-0.4457,2.445
1.525417,1.5664,1.2602,-0.3029,2.033
1.526934,1.5664,1.2602,-0.3029,2.033
1.544531,1.0793,3.4654,-0.1235,3.632
1.546107,1.0793,3.4654,-0.1235,3.632
1.566875,-0.0506,3.3651,-0.1624,3.369
1.570072,-0.0506,3.3651,-0.1624,3.369
1.584702,0.0135,1.2096,0.1657,1.221
1.586279,0.0135,1.2096,0.1657,1.221
1.604601,0.1811,-0.5543,0.9800,1.140
1.606038,0.1811,-0.5543,0.9800,1.140
1.632068,-0.2039,-0.6980,1.0137,1.248
1.633973,-0.2039,-0.6980,1.0137,1.248
1.651121,-0.0001,-0.1985,0.7355,0.762
1.652764,-0.0001,-0.1985,0.7355,0.762
1.666671,0.2121,-0.4079,0.2151,0.508
1.668358,0.2121,-0.4079,0.2151,0.508
1.684464,0.2118,-1.4271,-0.3246,1.479
1.686306,0.2118,-1.4271,-0.3246,1.479
1.704785,0.0558,-2.7445,-0.2878,2.760
1.706767,0.0558,-2.7445,-0.2878,2.760
1.724745,-0.0540,-3.7373,0.0263,3.738
1.727359,-0.0540,-3.7373,0.0263,3.738
1.744203,0.0018,-3.4055,0.3611,3.425
1.745935,0.0018,-3.4055,0.3611,3.425
1.764429,0.0473,-2.4213,0.1909,2.429
1.766623,0.0473,-2.4213,0.1909,2.429
1.785510,-0.0740,-1.4387,-0.1804,1.452
1.789082,-0.0740,-1.4387,-0.1804,1.452
1.805042,-0.0314,-1.2499,-0.1424,1.258
1.806919,-0.0314,-1.2499,-0.1424,1.258
1.827304,0.4275,-1.8405,0.1349,1.894
1.828861,0.4275,-1.8405,0.1349,1.894
1.844374,0.6773,-1.8028,0.0819,1.928
1.846831,0.6773,-1.8028,0.0819,1.928
1.864214,0.1520,-0.7696,0.0148,0.785
1.865557,0.1520,-0.7696,0.0148,0.785
1.884092,-0.1741,0.1094,0.2069,0.292
1.885536,-0.1741,0.1094,0.2069,0.292
1.903993,-0.3733,0.0135,-0.5621,0.675
1.905026,-0.3733,0.0135,-0.5621,0.675
1.924380,-0.0497,0.4640,-0.5007,0.684
1.926066,-0.0497,0.4640,-0.5007,0.684
1.944183,-0.3408,1.3914,-1.4479,2.037
1.945910,-0.3408,1.3914,-1.4479,2.037
1.966246,-0.6593,1.8129,-1.1662,2.254
1.975384,-0.6593,1.8129,-1.1662,2.254
1.985143,-1.3861,2.1311,-1.3802,2.893
1.987794,-1.3861,2.1311,-1.3802,2.893
2.007154,-0.8546,1.3510,-1.1130,1.948
2.010594,-0.8546,1.3510,-1.1130,1.948
2.023926,-0.3403,1.1880,-0.8876,1.521
2.025554,-0.3403,1.1880,-0.8876,1.521
2.050625,-0.3660,2.0375,-0.0460,2.071
2.053189,-0.3660,2.0375,-0.0460,2.071
2.072745,-0.3075,2.8768,0.0419,2.893
2.074065,-0.3075,2.8768,0.0419,2.893
2.084626,-0.5615,3.6812,-0.5054,3.758
2.086130,-0.5615,3.6812,-0.5054,3.758
2.108134,-0.2918,3.9570,-0.6167,4.015
2.113840,-0.2918,3.9570,-0.6167,4.015
2.124293,0.0495,3.1014,0.0246,3.102
2.125500,0.0495,3.1014,0.0246,3.102
2.144308,0.1447,0.8322,1.0701,1.363
2.146033,0.1447,0.8322,1.0701,1.363
2.164634,-0.4385,-1.1608,0.9749,1.578
2.166748,-0.4385,-1.1608,0.9749,1.578
2.184588,-0.4061,-0.8620,0.8271,1.262
2.185547,-0.4061,-0.8620,0.8271,1.262
2.204157,-0.0428,-0.3860,0.1996,0.437
2.205666,-0.0428,-0.3860,0.1996,0.437
2.224262,0.3417,-1.1855,-0.5874,1.366
2.225915,0.3417,-1.1855,-0.5874,1.366
2.243932,0.5994,-2.3049,-0.1556,2.387
2.245279,0.5994,-2.3049,-0.1556,2.387
2.265014,0.5933,-3.1259,0.0816,3.183
2.269285,0.5933,-3.1259,0.0816,3.183
2.284877,0.3478,-3.0600,0.3639,3.101
2.287233,0.3478,-3.0600,0.3639,3.101
2.304996,-0.1059,-2.7441,0.1279,2.749
2.307106,-0.1059,-2.7441,0.1279,2.749
2.325915,-0.0492,-2.1334,0.0755,2.135
2.327578,-0.0492,-2.1334,0.0755,2.135
2.344263,0.1852,-1.3767,0.4418,1.458
2.346247,0.1852,-1.3767,0.4418,1.458
2.366327,-0.1961,-1.0414,0.3161,1.106
2.368462,-0.1961,-1.0414,0.3161,1.106
2.384137,-0.8235,-0.6416,0.4368,1.132
2.385738,-0.8235,-0.6416,0.4368,1.132
2.404416,-1.1432,-0.7760,0.4734,1.461
2.406195,-1.1432,-0.7760,0.4734,1.461
2.424434,-0.8922,-1.1712,0.3442,1.512
2.425662,-0.8922,-1.1712,0.3442,1.512
2.443465,-0.4251,-0.7799,0.1163,0.896
2.444725,-0.4251,-0.7799,0.1163,0.896
2.464424,0.0101,0.7243,-0.1071,0.732
2.465673,0.0101,0.7243,-0.1071,0.732
2.483827,0.2443,2.7084,-0.2468,2.731
2.485624,0.2443,2.7084,-0.2468,2.731
2.504054,0.2018,3.6750,-1.0392,3.824
2.506019,0.2018,3.6750,-1.0392,3.824
2.524467,0.4065,2.8031,-1.2875,3.111
2.526146,0.4065,2.8031,-1.2875,3.111
2.543989,0.9513,1.7346,-0.5548,2.055
2.545392,0.9513,1.7346,-0.5548,2.055
2.564884,1.2853,1.8763,-0.1958,2.283
2.566798,1.2853,1.8763,-0.1958,2.283
2.583752,1.3703,2.8600,-0.6025,3.228
2.585712,1.3703,2.8600,-0.6025,3.228
2.604014,0.7248,4.3205,-0.3769,4.397
2.605428,0.7248,4.3205,-0.3769,4.397
2.624155,0.5277,2.6376,0.2541,2.702
2.626104,0.5277,2.6376,0.2541,2.702
2.643567,0.1317,0.6998,0.5972,0.929
2.645165,0.1317,0.6998,0.5972,0.929
2.663905,0.1107,-0.2149,0.8568,0.890
2.666355,0.1107,-0.2149,0.8568,0.890
2.683961,-0.0538,-0.0084,0.3869,0.391
2.686739,-0.0538,-0.0084,0.3869,0.391
2.703965,-0.1278,0.4537,-0.0218,0.472
2.705522,-0.1278,0.4537,-0.0218,0.472
2.724259,-0.1602,0.1405,0.1685,0.272
2.725674,-0.1602,0.1405,0.1685,0.272
2.743774,0.0990,-0.6131,0.7679,0.988
2.745024,0.0990,-0.6131,0.7679,0.988
2.765394,0.2432,-1.4138,0.6938,1.594
2.767424,0.2432,-1.4138,0.6938,1.594
2.783917,0.1389,-1.7667,0.0917,1.775
2.786021,0.1389,-1.7667,0.0917,1.775
2.803877,-0.1745,-1.6442,-0.2160,1.668
2.806133,-0.1745,-1.6442,-0.2160,1.668
2.824606,-0.0925,-1.5982,-0.0508,1.602
2.825787,-0.0925,-1.5982,-0.0508,1.602
2.843882,0.2827,-1.7883,0.2340,1.826
2.845531,0.2827,-1.7883,0.2340,1.826
2.863595,0.5067,-1.8698,0.6576,2.046
2.865065,0.5067,-1.8698,0.6576,2.046
2.884116,0.4636,-1.5675,0.7106,1.782
2.885657,0.4636,-1.5675,0.7106,1.782
2.904202,0.1532,-0.9030,-0.0994,0.921
2.905583,0.1532,-0.9030,-0.0994,0.921
2.923613,0.1154,-0.5895,-0.0312,0.601
2.925434,0.1154,-0.5895,-0.0312,0.601
2.944146,0.3916,-1.1281,0.3135,1.235
2.946198,0.3916,-1.1281,0.3135,1.235
2.964234,0.2857,-1.6191,0.3168,1.674
2.967051,0.2857,-1.6191,0.3168,1.674
2.984573,0.0464,-1.3730,0.5434,1.477
2.986181,0.0464,-1.3730,0.5434,1.477
3.004175,-0.0752,-0.8698,0.3883,0.956
3.005875,-0.0752,-0.8698,0.3883,0.956
3.024001,-0.2939,-0.3343,-0.0346,0.446
3.025052,-0.2939,-0.3343,-0.0346,0.446
3.044020,-0.6038,-0.0972,-0.4026,0.732
3.045792,-0.6038,-0.0972,-0.4026,0.732
3.065030,-0.8790,0.2927,-1.1973,1.514
3.066804,-0.8790,0.2927,-1.1973,1.514
3.084124,-1.4229,0.8803,-1.2505,2.089
3.085654,-1.4229,0.8803,-1.2505,2.089
3.103839,-1.2855,1.3352,-0.1165,1.857
3.105111,-1.2855,1.3352,-0.1165,1.857
3.125656,-0.9094,0.9905,-0.4918,1.432
3.127320,-0.9094,0.9905,-0.4918,1.432
3.143793,-0.3120,0.0911,-0.8279,0.889
3.145085,-0.3120,0.0911,-0.8279,0.889
3.164000,0.4900,0.2744,-0.6318,0.845
3.165260,0.4900,0.2744,-0.6318,0.845
3.184357,0.3803,1.7081,-0.6305,1.860
3.185455,0.3803,1.7081,-0.6305,1.860
3.203737,0.1539,3.0067,-0.3058,3.026
3.205359,0.1539,3.0067,-0.3058,3.026
3.225326,-0.0729,3.6560,-0.0260,3.657
3.227444,-0.0729,3.6560,-0.0260,3.657
3.244478,-0.2192,2.5655,-0.0576,2.575
3.245422,-0.2192,2.5655,-0.0576,2.575
3.263613,-0.2629,1.7965,0.4280,1.865
3.264594,-0.2629,1.7965,0.4280,1.865
3.284042,-0.4786,2.0809,0.7285,2.256
3.285365,-0.4786,2.0809,0.7285,2.256
3.304497,-0.9376,1.5711,0.3811,1.869
3.308103,-0.9376,1.5711,0.3811,1.869
3.323743,-0.6294,-0.0409,0.4401,0.769
3.324877,-0.6294,-0.0409,0.4401,0.769
3.343635,-0.2676,-1.6722,-0.0852,1.696
3.345465,-0.2676,-1.6722,-0.0852,1.696
3.364702,-0.0944,-2.5017,-0.1143,2.506
3.367007,-0.0944,-2.5017,-0.1143,2.506
3.383650,-0.0325,-2.1844,0.2983,2.205
3.386774,-0.0325,-2.1844,0.2983,2.205
3.404097,0.0899,-1.5821,0.0804,1.587
3.406055,0.0899,-1.5821,0.0804,1.587
3.424932,-0.0408,-1.5241,-0.1591,1.533
3.427441,-0.0408,-1.5241,-0.1591,1.533
3.443748,-0.0408,-2.3083,0.2435,2.321
3.444921,-0.0408,-2.3083,0.2435,2.321
3.464228,-0.5994,-2.5527,0.7613,2.730
3.466225,-0.5994,-2.5527,0.7613,2.730
3.488325,-0.8984,-2.1947,0.9894,2.570
3.490067,-0.8984,-2.1947,0.9894,2.570
3.503703,-0.8122,-1.5459,0.6772,1.873
3.504954,-0.8122,-1.5459,0.6772,1.873
3.523659,-0.3740,-0.8974,0.0917,0.976
3.525031,-0.3740,-0.8974,0.0917,0.976
3.543163,-0.0571,-0.4483,0.1902,0.490
3.544515,-0.0571,-0.4483,0.1902,0.490
3.563871,-0.2821,0.0810,0.3293,0.441
3.565498,-0.2821,0.0810,0.3293,0.441
3.583345,0.1277,0.1691,0.1984,0.290
3.584362,0.1277,0.1691,0.1984,0.290
3.603513,0.5714,0.5944,-0.2981,0.877
3.604903,0.5714,0.5944,-0.2981,0.877
3.623540,0.7230,1.7648,-0.7480,2.049
3.625670,0.7230,1.7648,-0.7480,2.049
3.643509,0.8548,3.0568,-0.3804,3.197
3.645428,0.8548,3.0568,-0.3804,3.197
3.663878,0.8880,3.0163,-0.3346,3.162
3.665897,0.8880,3.0163,-0.3346,3.162
3.683368,0.7081,2.0338,-0.4708,2.204
3.684803,0.7081,2.0338,-0.4708,2.204
3.703209,1.4008,0.7385,-0.5943,1.691
3.704708,1.4008,0.7385,-0.5943,1.691
3.732727,1.7107,1.5283,-0.5421,2.357
3.739323,1.7107,1.5283,-0.5421,2.357
3.753658,1.6809,3.7407,-0.0047,4.101
3.755779,1.6809,3.7407,-0.0047,4.101
3.763347,0.1618,6.1662,-0.0378,6.168
3.765232,0.1618,6.1662,-0.0378,6.168
3.783307,-0.0841,3.1793,0.8134,3.283
3.785509,-0.0841,3.1793,0.8134,3.283
3.802922,0.2804,-0.0842,0.9099,0.956
3.805565,0.2804,-0.0842,0.9099,0.956
3.823290,0.5318,-1.7410,0.4303,1.871
3.824766,0.5318,-1.7410,0.4303,1.871
3.842945,0.4683,-1.2146,0.6664,1.462
3.844556,0.4683,-1.2146,0.6664,1.462
3.863320,0.1407,-0.9627,0.2158,0.997
3.864545,0.1407,-0.9627,0.2158,0.997
3.883236,0.0392,-0.7124,0.7666,1.047
3.884751,0.0392,-0.7124,0.7666,1.047
3.904710,0.0447,-1.1138,0.5103,1.226
3.907367,0.0447,-1.1138,0.5103,1.226
3.923656,0.4917,-1.4366,0.1182,1.523
3.925953,0.4917,-1.4366,0.1182,1.523
3.943146,0.5739,-1.5418,0.2060,1.658
3.944857,0.5739,-1.5418,0.2060,1.658
3.963244,0.1209,-1.5606,0.2432,1.584
